,id,created_at,favorite_count,retweet_count,text,clean_text,polarity_tokens,review_len,word_count
0,1479016695171850244,2022-01-06 09:07:13+00:00,3,2,"Minister @McConalogue talks on how the Irish family farm model has lasted the test of time; the benefits of @EU membership for supports and access to the European Single Market; and on #FoodVision2030 at @oxfordfarming #ORFC22 

📍https://t.co/gnbrahBBba 

https://t.co/3QaCqCWY6v",minister talk irish family farm model last test time benefit membership support access european single market,-0.017857142857142856,109,16
1,1478777431871864839,2022-01-05 17:16:28+00:00,5,4,"Here’s #BeWinterReady tips for farms:

💡Ensure farm is well lit
⚙️Get trained on how to use equipment correctly
📱Always carry a mobile
🗒Plan your work
🧒Supervise kids on farms
✔️Look after your wellbeing
🚜Ensure vehicles are serviced

➡️Learn more at https://t.co/osS8toedar https://t.co/x2vAYOlsOA",bewinterready tip farm ensure farm light train use equipment carry mobile plan work supervise kid farm wellbeing ensure vehicle service,0.4,135,20
2,1478305852868251653,2022-01-04 10:02:35+00:00,7,2,"Extensions have been announced for a number of European Innovation Partnership (#EIP) projects including @DuncannonEIP, @CaomhnuArann,  @CurlewEIP and MacGillycuddy Reeks @ForumEip to continue work until the start of the next #CAP Strategic Plan in 2023

➡️https://t.co/QrFlEjDS00 https://t.co/HATpSHHzRi",extension announce number european innovation partnership eip project include macgillycuddy reek continue work start cap strategic plan,0.0,135,17
3,1478303286604226565,2022-01-04 09:52:23+00:00,18,11,"A range of public and stakeholder engagements have been announced on the development of a new Forest Strategy for Ireland by Minister @pippa_hackett including hosting a Deliberative Dialogue, similar to the Citizens’ Assembly model, and a youth dialogue.
🌳https://t.co/7yWSU6YEhe https://t.co/fnZrwWFfcn",range public stakeholder engagement announce development new forest strategy ireland minister include host deliberative dialogue similar citizen assembly model youth dialogue,0.04545454545454545,174,21
4,1477625220580085761,2022-01-02 12:58:00+00:00,13,3,"If you missed any of our webinars during #AnimalHealth and #AntimicrobialResistance Awareness week, you can watch them all back now split into topics on our YouTube Playlist.

🎥Watch back here now: https://t.co/brWBPp5ip8

 #onehealth #AMR",miss webinar animalhealth antimicrobialresistance awareness week watch split topic youtube playlist watch onehealth amr,0.0,119,14
5,1477262329477689345,2022-01-01 12:56:00+00:00,3,4,"The new EU Regulations on veterinary medicines and medicated feed aim to increase the availability of veterinary medicinal products across the #EU and address the #OneHealth, One Welfare challenges of #antimicrobialresistance and antiparasitic resistance
📍https://t.co/wXUPJQ7TTa",new regulation veterinary medicine medicate feed aim increase availability veterinary medicinal product address onehealth welfare challenge antimicrobialresistance antiparasitic resistance,0.13636363636363635,188,19
6,1476886604350324737,2021-12-31 12:03:00+00:00,2,0,"#Reminder 
The annual sheep and goat census takes place tonight, Friday, December 31.

✉️Postal forms must arrive to us no later than Monday, January 31, 2022

💻Online forms via https://t.co/fBFpQMaAE2 must be returned by Monday, February  14, 2022. https://t.co/EILthEzbLH",reminder annual sheep goat census take place tonight friday december form arrive monday january online form return monday february,0.0,130,19
7,1476535540623110144,2021-12-30 12:48:00+00:00,2,0,"Some #BeWinterReady tips for farms:

💡Ensure farm is well lit
⚙️Get trained on how to use equipment correctly
📱Always carry a mobile
🗒Plan your work
🧒Supervise kids on farms
✔️look after your wellbeing
🚜Ensure vehicles are serviced

Learn more at https://t.co/osS8toedar https://t.co/1dYuuMukG5",bewinterready tip farm ensure farm light train use equipment carry mobile plan work supervise kid farm wellbeing ensure vehicle service learn,0.4,141,21
8,1476483137807003649,2021-12-30 09:19:46+00:00,6,2,Central to this project is a pilot results-based payment scheme that rewards participating land managers for environmental services directly related to the conservation of the corncrake by linking payments to the habitat quality,central project pilot result base payment scheme reward participate land manager environmental service relate conservation corncrake link payment habitat quality,-0.4,161,20
9,1476214438478991367,2021-12-29 15:32:03+00:00,3,1,"Minister @pippa_hackett said we ‘exceeded expectations by licensing 8.4 million cubic metres of timber, the highest on record. Our output on forest roads was equally impressive with 260km licensed, double our target.’

📍Read the interim report here: https://t.co/qPu7Ww59h0",minister say exceed expectation license cubic metre timber high record output forest road impressive license double target read interim report,0.38666666666666666,142,20
10,1476214435979177988,2021-12-29 15:32:02+00:00,9,5,"Minister @pippa_hackett welcomes progress in third interim report on the implementation of #ProjectWoodland, notably the 60% increase in forestry licencing in 2021 compared to last year. 

📍 https://t.co/X3ocqxjqdu https://t.co/KU9rgFoyz2",minister welcome progress interim report implementation projectwoodland increase forestry licencing compare year,0.8,112,12
11,1476159814833168389,2021-12-29 11:55:00+00:00,6,6,"A compulsory housing order is now in place for poultry and captive birds
 
⚠️Poultry owners should:
🦠Maintain strict biosecurity
🐥Stay vigilant against #BirdFlu

Learn more at https://t.co/y7fIA7StAF https://t.co/Yc4tQx9fhG",compulsory housing order place poultry captive bird owner maintain strict biosecurity stay vigilant birdflu learn,0.2,113,15
12,1476147076392263681,2021-12-29 11:04:23+00:00,7,3,"The @CorncrakeLife project aims to improve conservation status of the #corncrake. It works with land managers and communities to conserve and improve the quality of corncrake habitats, and the ecosystem services they provide like clean water, carbon storage and wider biodiversity",project aim improve conservation status corncrake work land manager community conserve improve quality corncrake habitat ecosystem service provide clean water carbon storage wide biodiversity,0.13333333333333336,191,24
