Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Rainfall,2004M11,Clones,Millimetres,40.1
Total Rainfall,2004M11,Cork airport,Millimetres,35.0
Total Rainfall,2004M11,Dublin airport,Millimetres,39.8
Total Rainfall,2004M11,Galway,Millimetres,92.5
Total Rainfall,2004M11,Kilkenny,Millimetres,39.4
Total Rainfall,2004M11,Malin head,Millimetres,94.6
Total Rainfall,2004M11,Mullingar,Millimetres,69.1
Total Rainfall,2004M11,Roches Point,Millimetres,
Total Rainfall,2004M11,Rosslare,Millimetres,35.2
Total Rainfall,2004M11,Shannon airport,Millimetres,66.6
Total Rainfall,2004M12,Belmullet,Millimetres,144.1
Total Rainfall,2004M12,Birr,Millimetres,78.0
Total Rainfall,2004M12,Valentia Observatory,Millimetres,115.0
Total Rainfall,2004M12,Casement,Millimetres,50.9
Total Rainfall,2004M12,Claremorris,Millimetres,
Total Rainfall,2004M12,Clones,Millimetres,78.3
Total Rainfall,2004M12,Cork airport,Millimetres,70.8
Total Rainfall,2004M12,Dublin airport,Millimetres,44.8
Total Rainfall,2004M12,Galway,Millimetres,132.6
Total Rainfall,2004M12,Kilkenny,Millimetres,44.8
Total Rainfall,2004M12,Malin head,Millimetres,142.2
Total Rainfall,2004M12,Mullingar,Millimetres,88.7
Total Rainfall,2004M12,Roches Point,Millimetres,
Total Rainfall,2004M12,Rosslare,Millimetres,56.2
Total Rainfall,2004M12,Shannon airport,Millimetres,90.9
Total Rainfall,2005M01,Belmullet,Millimetres,203.5
Total Rainfall,2005M01,Birr,Millimetres,116.3
Total Rainfall,2005M01,Valentia Observatory,Millimetres,184.9
Total Rainfall,2005M01,Casement,Millimetres,75.1
Total Rainfall,2005M01,Claremorris,Millimetres,
Total Rainfall,2005M01,Clones,Millimetres,108.5
Total Rainfall,2005M01,Cork airport,Millimetres,124.6
Total Rainfall,2005M01,Dublin airport,Millimetres,63.6
Total Rainfall,2005M01,Galway,Millimetres,172.5
Total Rainfall,2005M01,Kilkenny,Millimetres,79.5
Total Rainfall,2005M01,Malin head,Millimetres,139.1
Total Rainfall,2005M01,Mullingar,Millimetres,125.0
Total Rainfall,2005M01,Roches Point,Millimetres,
Total Rainfall,2005M01,Rosslare,Millimetres,59.1
Total Rainfall,2005M01,Shannon airport,Millimetres,123.4
Total Rainfall,2005M02,Belmullet,Millimetres,61.9
Total Rainfall,2005M02,Birr,Millimetres,41.0
Total Rainfall,2005M02,Valentia Observatory,Millimetres,90.1
Total Rainfall,2005M02,Casement,Millimetres,49.2
Total Rainfall,2005M02,Claremorris,Millimetres,
Total Rainfall,2005M02,Clones,Millimetres,42.7
Total Rainfall,2005M02,Cork airport,Millimetres,29.9
Total Rainfall,2005M02,Dublin airport,Millimetres,40.6
Total Rainfall,2005M02,Galway,Millimetres,75.3
Total Rainfall,2005M02,Kilkenny,Millimetres,23.0
Total Rainfall,2005M02,Malin head,Millimetres,75.2
Total Rainfall,2005M02,Mullingar,Millimetres,38.8
Total Rainfall,2005M02,Roches Point,Millimetres,
Total Rainfall,2005M02,Rosslare,Millimetres,39.1
Total Rainfall,2005M02,Shannon airport,Millimetres,50.1
Total Rainfall,2005M03,Belmullet,Millimetres,39.6
Total Rainfall,2005M03,Birr,Millimetres,63.2
Total Rainfall,2005M03,Valentia Observatory,Millimetres,81.9
Total Rainfall,2005M03,Casement,Millimetres,18.0
Total Rainfall,2005M03,Claremorris,Millimetres,
Total Rainfall,2005M03,Clones,Millimetres,63.4
Total Rainfall,2005M03,Cork airport,Millimetres,83.2
Total Rainfall,2005M03,Dublin airport,Millimetres,35.2
Total Rainfall,2005M03,Galway,Millimetres,72.0
Total Rainfall,2005M03,Kilkenny,Millimetres,71.5
Total Rainfall,2005M03,Malin head,Millimetres,65.2
Total Rainfall,2005M03,Mullingar,Millimetres,69.2
Total Rainfall,2005M03,Roches Point,Millimetres,
Total Rainfall,2005M03,Rosslare,Millimetres,51.0
Total Rainfall,2005M03,Shannon airport,Millimetres,57.0
Total Rainfall,2005M04,Belmullet,Millimetres,96.1
Total Rainfall,2005M04,Birr,Millimetres,73.9
Total Rainfall,2005M04,Valentia Observatory,Millimetres,152.8
Total Rainfall,2005M04,Casement,Millimetres,44.0
Total Rainfall,2005M04,Claremorris,Millimetres,
Total Rainfall,2005M04,Clones,Millimetres,72.3
Total Rainfall,2005M04,Cork airport,Millimetres,134.2
Total Rainfall,2005M04,Dublin airport,Millimetres,57.0
Total Rainfall,2005M04,Galway,Millimetres,102.7
Total Rainfall,2005M04,Kilkenny,Millimetres,82.5
Total Rainfall,2005M04,Malin head,Millimetres,78.8
Total Rainfall,2005M04,Mullingar,Millimetres,74.5
Total Rainfall,2005M04,Roches Point,Millimetres,
Total Rainfall,2005M04,Rosslare,Millimetres,107.8
Total Rainfall,2005M04,Shannon airport,Millimetres,91.3
Total Rainfall,2005M05,Belmullet,Millimetres,106.4
Total Rainfall,2005M05,Birr,Millimetres,53.5
Total Rainfall,2005M05,Valentia Observatory,Millimetres,154.5
Total Rainfall,2005M05,Casement,Millimetres,56.7
Total Rainfall,2005M05,Claremorris,Millimetres,
Total Rainfall,2005M05,Clones,Millimetres,74.9
Total Rainfall,2005M05,Cork airport,Millimetres,94.4
Total Rainfall,2005M05,Dublin airport,Millimetres,69.5
Total Rainfall,2005M05,Galway,Millimetres,128.1
Total Rainfall,2005M05,Kilkenny,Millimetres,66.6
Total Rainfall,2005M05,Malin head,Millimetres,94.6
Total Rainfall,2005M05,Mullingar,Millimetres,90.3
Total Rainfall,2005M05,Roches Point,Millimetres,
Total Rainfall,2005M05,Rosslare,Millimetres,57.7
Total Rainfall,2005M05,Shannon airport,Millimetres,92.5
Total Rainfall,2005M06,Belmullet,Millimetres,68.1
Total Rainfall,2005M06,Birr,Millimetres,29.1
Total Rainfall,2005M06,Valentia Observatory,Millimetres,87.7
Total Rainfall,2005M06,Casement,Millimetres,25.3
Total Rainfall,2005M06,Claremorris,Millimetres,
Total Rainfall,2005M06,Clones,Millimetres,45.5
Total Rainfall,2005M06,Cork airport,Millimetres,53.5
Total Rainfall,2005M06,Dublin airport,Millimetres,28.3
Total Rainfall,2005M06,Galway,Millimetres,92.3
Total Rainfall,2005M06,Kilkenny,Millimetres,34.6
Total Rainfall,2005M06,Malin head,Millimetres,65.9
Total Rainfall,2005M06,Mullingar,Millimetres,33.3
Total Rainfall,2005M06,Roches Point,Millimetres,
Total Rainfall,2005M06,Rosslare,Millimetres,34.3
Total Rainfall,2005M06,Shannon airport,Millimetres,55.3
Total Rainfall,2005M07,Belmullet,Millimetres,32.3
Total Rainfall,2005M07,Birr,Millimetres,84.6
Total Rainfall,2005M07,Valentia Observatory,Millimetres,71.7
Total Rainfall,2005M07,Casement,Millimetres,79.2
Total Rainfall,2005M07,Claremorris,Millimetres,
Total Rainfall,2005M07,Clones,Millimetres,46.5
Total Rainfall,2005M07,Cork airport,Millimetres,105.2
Total Rainfall,2005M07,Dublin airport,Millimetres,83.9
Total Rainfall,2005M07,Galway,Millimetres,46.6
Total Rainfall,2005M07,Kilkenny,Millimetres,55.0
Total Rainfall,2005M07,Malin head,Millimetres,24.3
Total Rainfall,2005M07,Mullingar,Millimetres,67.3
Total Rainfall,2005M07,Roches Point,Millimetres,
Total Rainfall,2005M07,Rosslare,Millimetres,126.8
Total Rainfall,2005M07,Shannon airport,Millimetres,43.9
Total Rainfall,2005M08,Belmullet,Millimetres,88.0
Total Rainfall,2005M08,Birr,Millimetres,52.5
Total Rainfall,2005M08,Valentia Observatory,Millimetres,83.7
Total Rainfall,2005M08,Casement,Millimetres,30.5
Total Rainfall,2005M08,Claremorris,Millimetres,
Total Rainfall,2005M08,Clones,Millimetres,86.2
Total Rainfall,2005M08,Cork airport,Millimetres,52.2
Total Rainfall,2005M08,Dublin airport,Millimetres,25.3
Total Rainfall,2005M08,Galway,Millimetres,110.1
Total Rainfall,2005M08,Kilkenny,Millimetres,38.2
Total Rainfall,2005M08,Malin head,Millimetres,128.0
Total Rainfall,2005M08,Mullingar,Millimetres,58.1
Total Rainfall,2005M08,Roches Point,Millimetres,
Total Rainfall,2005M08,Rosslare,Millimetres,30.8
Total Rainfall,2005M08,Shannon airport,Millimetres,71.4
Total Rainfall,2005M09,Belmullet,Millimetres,144.4
Total Rainfall,2005M09,Birr,Millimetres,58.0
Total Rainfall,2005M09,Valentia Observatory,Millimetres,148.3
Total Rainfall,2005M09,Casement,Millimetres,50.2
Total Rainfall,2005M09,Claremorris,Millimetres,
Total Rainfall,2005M09,Clones,Millimetres,72.9
Total Rainfall,2005M09,Cork airport,Millimetres,111.3
Total Rainfall,2005M09,Dublin airport,Millimetres,55.8
Total Rainfall,2005M09,Galway,Millimetres,95.7
Total Rainfall,2005M09,Kilkenny,Millimetres,54.0
Total Rainfall,2005M09,Malin head,Millimetres,94.0
Total Rainfall,2005M09,Mullingar,Millimetres,59.5
Total Rainfall,2005M09,Roches Point,Millimetres,
Total Rainfall,2005M09,Rosslare,Millimetres,69.7
Total Rainfall,2005M09,Shannon airport,Millimetres,81.0
Total Rainfall,2005M10,Belmullet,Millimetres,138.0
Total Rainfall,2005M10,Birr,Millimetres,96.9
Total Rainfall,2005M10,Valentia Observatory,Millimetres,152.3
Total Rainfall,2005M10,Casement,Millimetres,83.5
Total Rainfall,2005M10,Claremorris,Millimetres,
Total Rainfall,2005M10,Clones,Millimetres,92.2
Total Rainfall,2005M10,Cork airport,Millimetres,219.3
Total Rainfall,2005M10,Dublin airport,Millimetres,101.5
Total Rainfall,2005M10,Galway,Millimetres,144.0
Total Rainfall,2005M10,Kilkenny,Millimetres,144.3
Total Rainfall,2005M10,Malin head,Millimetres,109.5
Total Rainfall,2005M10,Mullingar,Millimetres,108.6
Total Rainfall,2005M10,Roches Point,Millimetres,
Total Rainfall,2005M10,Rosslare,Millimetres,138.7
Total Rainfall,2005M10,Shannon airport,Millimetres,103.9
Total Rainfall,2005M11,Belmullet,Millimetres,115.7
Total Rainfall,2005M11,Birr,Millimetres,71.1
Total Rainfall,2005M11,Valentia Observatory,Millimetres,139.4
Total Rainfall,2005M11,Casement,Millimetres,54.8
Total Rainfall,2005M11,Claremorris,Millimetres,
Total Rainfall,2005M11,Clones,Millimetres,75.3
Total Rainfall,2005M11,Cork airport,Millimetres,108.7
Total Rainfall,2005M11,Dublin airport,Millimetres,50.7
Total Rainfall,2005M11,Galway,Millimetres,104.1
Total Rainfall,2005M11,Kilkenny,Millimetres,70.8
Total Rainfall,2005M11,Malin head,Millimetres,107.7
Total Rainfall,2005M11,Mullingar,Millimetres,77.1
Total Rainfall,2005M11,Roches Point,Millimetres,
Total Rainfall,2005M11,Rosslare,Millimetres,93.9
Total Rainfall,2005M11,Shannon airport,Millimetres,80.5
Total Rainfall,2005M12,Belmullet,Millimetres,125.5
Total Rainfall,2005M12,Birr,Millimetres,49.2
Total Rainfall,2005M12,Valentia Observatory,Millimetres,152.4
Total Rainfall,2005M12,Casement,Millimetres,57.7
Total Rainfall,2005M12,Claremorris,Millimetres,
Total Rainfall,2005M12,Clones,Millimetres,72.0
Total Rainfall,2005M12,Cork airport,Millimetres,74.5
Total Rainfall,2005M12,Dublin airport,Millimetres,68.9
Total Rainfall,2005M12,Galway,Millimetres,101.5
Total Rainfall,2005M12,Kilkenny,Millimetres,38.3
Total Rainfall,2005M12,Malin head,Millimetres,103.8
Total Rainfall,2005M12,Mullingar,Millimetres,62.7
Total Rainfall,2005M12,Roches Point,Millimetres,
Total Rainfall,2005M12,Rosslare,Millimetres,44.6
Total Rainfall,2005M12,Shannon airport,Millimetres,64.4
Total Rainfall,2006M01,Belmullet,Millimetres,110.8
Total Rainfall,2006M01,Birr,Millimetres,36.9
Total Rainfall,2006M01,Valentia Observatory,Millimetres,144.7
Total Rainfall,2006M01,Casement,Millimetres,17.9
Total Rainfall,2006M01,Claremorris,Millimetres,
Total Rainfall,2006M01,Clones,Millimetres,46.3
Total Rainfall,2006M01,Cork airport,Millimetres,48.9
Total Rainfall,2006M01,Dublin airport,Millimetres,16.3
Total Rainfall,2006M01,Galway,Millimetres,75.3
Total Rainfall,2006M01,Kilkenny,Millimetres,37.1
Total Rainfall,2006M01,Malin head,Millimetres,67.6
Total Rainfall,2006M01,Mullingar,Millimetres,38.5
Total Rainfall,2006M01,Roches Point,Millimetres,
Total Rainfall,2006M01,Rosslare,Millimetres,42.4
Total Rainfall,2006M01,Shannon airport,Millimetres,53.8
Total Rainfall,2006M02,Belmullet,Millimetres,86.5
Total Rainfall,2006M02,Birr,Millimetres,33.7
Total Rainfall,2006M02,Valentia Observatory,Millimetres,86.7
Total Rainfall,2006M02,Casement,Millimetres,45.0
Total Rainfall,2006M02,Claremorris,Millimetres,
Total Rainfall,2006M02,Clones,Millimetres,38.0
Total Rainfall,2006M02,Cork airport,Millimetres,28.9
Total Rainfall,2006M02,Dublin airport,Millimetres,38.3
Total Rainfall,2006M02,Galway,Millimetres,52.2
Total Rainfall,2006M02,Kilkenny,Millimetres,36.7
Total Rainfall,2006M02,Malin head,Millimetres,40.6
Total Rainfall,2006M02,Mullingar,Millimetres,45.3
Total Rainfall,2006M02,Roches Point,Millimetres,
Total Rainfall,2006M02,Rosslare,Millimetres,39.5
Total Rainfall,2006M02,Shannon airport,Millimetres,38.3
Total Rainfall,2006M03,Belmullet,Millimetres,101.3
Total Rainfall,2006M03,Birr,Millimetres,83.6
Total Rainfall,2006M03,Valentia Observatory,Millimetres,149.1
Total Rainfall,2006M03,Casement,Millimetres,53.2
Total Rainfall,2006M03,Claremorris,Millimetres,
Total Rainfall,2006M03,Clones,Millimetres,125.1
Total Rainfall,2006M03,Cork airport,Millimetres,112.4
Total Rainfall,2006M03,Dublin airport,Millimetres,68.7
Total Rainfall,2006M03,Galway,Millimetres,133.5
Total Rainfall,2006M03,Kilkenny,Millimetres,80.7
Total Rainfall,2006M03,Malin head,Millimetres,107.2
Total Rainfall,2006M03,Mullingar,Millimetres,118.7
Total Rainfall,2006M03,Roches Point,Millimetres,
Total Rainfall,2006M03,Rosslare,Millimetres,106.2
Total Rainfall,2006M03,Shannon airport,Millimetres,104.9
Total Rainfall,2006M04,Belmullet,Millimetres,75.2
Total Rainfall,2006M04,Birr,Millimetres,37.7
Total Rainfall,2006M04,Valentia Observatory,Millimetres,79.4
Total Rainfall,2006M04,Casement,Millimetres,27.8
Total Rainfall,2006M04,Claremorris,Millimetres,
Total Rainfall,2006M04,Clones,Millimetres,68.3
Total Rainfall,2006M04,Cork airport,Millimetres,30.0
Total Rainfall,2006M04,Dublin airport,Millimetres,40.8
Total Rainfall,2006M04,Galway,Millimetres,58.1
Total Rainfall,2006M04,Kilkenny,Millimetres,23.0
Total Rainfall,2006M04,Malin head,Millimetres,69.9
Total Rainfall,2006M04,Mullingar,Millimetres,51.0
Total Rainfall,2006M04,Roches Point,Millimetres,
Total Rainfall,2006M04,Rosslare,Millimetres,20.9
Total Rainfall,2006M04,Shannon airport,Millimetres,31.3
Total Rainfall,2006M05,Belmullet,Millimetres,123.2
Total Rainfall,2006M05,Birr,Millimetres,123.6
Total Rainfall,2006M05,Valentia Observatory,Millimetres,201.0
Total Rainfall,2006M05,Casement,Millimetres,75.4
Total Rainfall,2006M05,Claremorris,Millimetres,
Total Rainfall,2006M05,Clones,Millimetres,123.4
Total Rainfall,2006M05,Cork airport,Millimetres,134.5
Total Rainfall,2006M05,Dublin airport,Millimetres,125.8
Total Rainfall,2006M05,Galway,Millimetres,136.4
Total Rainfall,2006M05,Kilkenny,Millimetres,98.2
Total Rainfall,2006M05,Malin head,Millimetres,73.4
Total Rainfall,2006M05,Mullingar,Millimetres,133.3
Total Rainfall,2006M05,Roches Point,Millimetres,
Total Rainfall,2006M05,Rosslare,Millimetres,108.3
Total Rainfall,2006M05,Shannon airport,Millimetres,125.8
Total Rainfall,2006M06,Belmullet,Millimetres,36.1
Total Rainfall,2006M06,Birr,Millimetres,19.3
Total Rainfall,2006M06,Valentia Observatory,Millimetres,47.6
Total Rainfall,2006M06,Casement,Millimetres,19.7
Total Rainfall,2006M06,Claremorris,Millimetres,
Total Rainfall,2006M06,Clones,Millimetres,28.2
Total Rainfall,2006M06,Cork airport,Millimetres,14.8
Total Rainfall,2006M06,Dublin airport,Millimetres,19.2
Total Rainfall,2006M06,Galway,Millimetres,
Total Rainfall,2006M06,Kilkenny,Millimetres,27.2
Total Rainfall,2006M06,Malin head,Millimetres,63.3
Total Rainfall,2006M06,Mullingar,Millimetres,20.8
Total Rainfall,2006M06,Roches Point,Millimetres,
Total Rainfall,2006M06,Rosslare,Millimetres,17.1
Total Rainfall,2006M06,Shannon airport,Millimetres,19.2
Total Rainfall,2006M07,Belmullet,Millimetres,71.0
Total Rainfall,2006M07,Birr,Millimetres,49.7
Total Rainfall,2006M07,Valentia Observatory,Millimetres,102.1
Total Rainfall,2006M07,Casement,Millimetres,13.5
Total Rainfall,2006M07,Claremorris,Millimetres,
Total Rainfall,2006M07,Clones,Millimetres,67.9
Total Rainfall,2006M07,Cork airport,Millimetres,58.6
Total Rainfall,2006M07,Dublin airport,Millimetres,18.2
Total Rainfall,2006M07,Galway,Millimetres,62.9
Total Rainfall,2006M07,Kilkenny,Millimetres,39.5
Total Rainfall,2006M07,Malin head,Millimetres,74.1
Total Rainfall,2006M07,Mullingar,Millimetres,48.5
Total Rainfall,2006M07,Roches Point,Millimetres,
Total Rainfall,2006M07,Rosslare,Millimetres,49.2
Total Rainfall,2006M07,Shannon airport,Millimetres,28.5
Total Rainfall,2006M08,Belmullet,Millimetres,32.9
Total Rainfall,2006M08,Birr,Millimetres,53.3
Total Rainfall,2006M08,Valentia Observatory,Millimetres,52.5
Total Rainfall,2006M08,Casement,Millimetres,66.2
Total Rainfall,2006M08,Claremorris,Millimetres,
Total Rainfall,2006M08,Clones,Millimetres,90.6
Total Rainfall,2006M08,Cork airport,Millimetres,69.9
Total Rainfall,2006M08,Dublin airport,Millimetres,57.6
Total Rainfall,2006M08,Galway,Millimetres,62.7
Total Rainfall,2006M08,Kilkenny,Millimetres,45.9
Total Rainfall,2006M08,Malin head,Millimetres,73.1
Total Rainfall,2006M08,Mullingar,Millimetres,61.0
Total Rainfall,2006M08,Roches Point,Millimetres,
Total Rainfall,2006M08,Rosslare,Millimetres,67.2
Total Rainfall,2006M08,Shannon airport,Millimetres,42.4
Total Rainfall,2006M09,Belmullet,Millimetres,194.7
Total Rainfall,2006M09,Birr,Millimetres,112.6
Total Rainfall,2006M09,Valentia Observatory,Millimetres,263.7
Total Rainfall,2006M09,Casement,Millimetres,75.5
Total Rainfall,2006M09,Claremorris,Millimetres,
Total Rainfall,2006M09,Clones,Millimetres,106.8
Total Rainfall,2006M09,Cork airport,Millimetres,179.0
Total Rainfall,2006M09,Dublin airport,Millimetres,89.5
Total Rainfall,2006M09,Galway,Millimetres,232.8
Total Rainfall,2006M09,Kilkenny,Millimetres,124.9
Total Rainfall,2006M09,Malin head,Millimetres,112.7
Total Rainfall,2006M09,Mullingar,Millimetres,133.1
Total Rainfall,2006M09,Roches Point,Millimetres,
Total Rainfall,2006M09,Rosslare,Millimetres,83.1
Total Rainfall,2006M09,Shannon airport,Millimetres,148.4
Total Rainfall,2006M10,Belmullet,Millimetres,135.8
Total Rainfall,2006M10,Birr,Millimetres,113.8
Total Rainfall,2006M10,Valentia Observatory,Millimetres,171.3
Total Rainfall,2006M10,Casement,Millimetres,85.5
Total Rainfall,2006M10,Claremorris,Millimetres,
Total Rainfall,2006M10,Clones,Millimetres,132.9
Total Rainfall,2006M10,Cork airport,Millimetres,184.7
Total Rainfall,2006M10,Dublin airport,Millimetres,102.7
Total Rainfall,2006M10,Galway,Millimetres,148.2
Total Rainfall,2006M10,Kilkenny,Millimetres,128.5
Total Rainfall,2006M10,Malin head,Millimetres,123.9
Total Rainfall,2006M10,Mullingar,Millimetres,106.2
Total Rainfall,2006M10,Roches Point,Millimetres,
Total Rainfall,2006M10,Rosslare,Millimetres,111.9
Total Rainfall,2006M10,Shannon airport,Millimetres,93.5
Total Rainfall,2006M11,Belmullet,Millimetres,184.9
Total Rainfall,2006M11,Birr,Millimetres,109.2
Total Rainfall,2006M11,Valentia Observatory,Millimetres,232.7
Total Rainfall,2006M11,Casement,Millimetres,89.5
Total Rainfall,2006M11,Claremorris,Millimetres,
Total Rainfall,2006M11,Clones,Millimetres,91.5
Total Rainfall,2006M11,Cork airport,Millimetres,155.0
Total Rainfall,2006M11,Dublin airport,Millimetres,69.1
Total Rainfall,2006M11,Galway,Millimetres,149.3
Total Rainfall,2006M11,Kilkenny,Millimetres,136.5
Total Rainfall,2006M11,Malin head,Millimetres,170.2
Total Rainfall,2006M11,Mullingar,Millimetres,88.4
Total Rainfall,2006M11,Roches Point,Millimetres,
Total Rainfall,2006M11,Rosslare,Millimetres,117.2
Total Rainfall,2006M11,Shannon airport,Millimetres,115.2
Total Rainfall,2006M12,Belmullet,Millimetres,247.1
Total Rainfall,2006M12,Birr,Millimetres,139.7
Total Rainfall,2006M12,Valentia Observatory,Millimetres,224.0
Total Rainfall,2006M12,Casement,Millimetres,107.9
Total Rainfall,2006M12,Claremorris,Millimetres,
Total Rainfall,2006M12,Clones,Millimetres,136.5
Total Rainfall,2006M12,Cork airport,Millimetres,183.0
Total Rainfall,2006M12,Dublin airport,Millimetres,94.4
Total Rainfall,2006M12,Galway,Millimetres,219.2
Total Rainfall,2006M12,Kilkenny,Millimetres,117.6
Total Rainfall,2006M12,Malin head,Millimetres,184.7
Total Rainfall,2006M12,Mullingar,Millimetres,160.6
Total Rainfall,2006M12,Roches Point,Millimetres,
Total Rainfall,2006M12,Rosslare,Millimetres,141.5
Total Rainfall,2006M12,Shannon airport,Millimetres,170.3
Total Rainfall,2007M01,Belmullet,Millimetres,148.4
Total Rainfall,2007M01,Birr,Millimetres,93.4
Total Rainfall,2007M01,Valentia Observatory,Millimetres,106.7
Total Rainfall,2007M01,Casement,Millimetres,72.1
Total Rainfall,2007M01,Claremorris,Millimetres,
Total Rainfall,2007M01,Clones,Millimetres,104.1
Total Rainfall,2007M01,Cork airport,Millimetres,87.9
Total Rainfall,2007M01,Dublin airport,Millimetres,72.8
Total Rainfall,2007M01,Galway,Millimetres,160.3
Total Rainfall,2007M01,Kilkenny,Millimetres,78.6
Total Rainfall,2007M01,Malin head,Millimetres,161.5
Total Rainfall,2007M01,Mullingar,Millimetres,116.7
Total Rainfall,2007M01,Roches Point,Millimetres,
Total Rainfall,2007M01,Rosslare,Millimetres,46.3
Total Rainfall,2007M01,Shannon airport,Millimetres,90.2
Total Rainfall,2007M02,Belmullet,Millimetres,76.6
Total Rainfall,2007M02,Birr,Millimetres,60.2
Total Rainfall,2007M02,Valentia Observatory,Millimetres,201.4
Total Rainfall,2007M02,Casement,Millimetres,58.0
Total Rainfall,2007M02,Claremorris,Millimetres,
Total Rainfall,2007M02,Clones,Millimetres,65.1
Total Rainfall,2007M02,Cork airport,Millimetres,141.9
Total Rainfall,2007M02,Dublin airport,Millimetres,77.8
Total Rainfall,2007M02,Galway,Millimetres,111.5
Total Rainfall,2007M02,Kilkenny,Millimetres,74.5
Total Rainfall,2007M02,Malin head,Millimetres,69.3
Total Rainfall,2007M02,Mullingar,Millimetres,70.3
Total Rainfall,2007M02,Roches Point,Millimetres,
Total Rainfall,2007M02,Rosslare,Millimetres,85.2
Total Rainfall,2007M02,Shannon airport,Millimetres,71.9
Total Rainfall,2007M03,Belmullet,Millimetres,100.1
Total Rainfall,2007M03,Birr,Millimetres,57.7
Total Rainfall,2007M03,Valentia Observatory,Millimetres,111.0
Total Rainfall,2007M03,Casement,Millimetres,46.0
Total Rainfall,2007M03,Claremorris,Millimetres,
Total Rainfall,2007M03,Clones,Millimetres,80.0
Total Rainfall,2007M03,Cork airport,Millimetres,89.3
Total Rainfall,2007M03,Dublin airport,Millimetres,62.1
Total Rainfall,2007M03,Galway,Millimetres,90.2
Total Rainfall,2007M03,Kilkenny,Millimetres,70.3
Total Rainfall,2007M03,Malin head,Millimetres,59.7
Total Rainfall,2007M03,Mullingar,Millimetres,65.3
Total Rainfall,2007M03,Roches Point,Millimetres,
Total Rainfall,2007M03,Rosslare,Millimetres,58.8
Total Rainfall,2007M03,Shannon airport,Millimetres,62.1
Total Rainfall,2007M04,Belmullet,Millimetres,54.7
Total Rainfall,2007M04,Birr,Millimetres,21.8
Total Rainfall,2007M04,Valentia Observatory,Millimetres,50.9
Total Rainfall,2007M04,Casement,Millimetres,5.4
Total Rainfall,2007M04,Claremorris,Millimetres,
Total Rainfall,2007M04,Clones,Millimetres,17.9
Total Rainfall,2007M04,Cork airport,Millimetres,27.1
Total Rainfall,2007M04,Dublin airport,Millimetres,14.7
Total Rainfall,2007M04,Galway,Millimetres,24.8
Total Rainfall,2007M04,Kilkenny,Millimetres,22.6
Total Rainfall,2007M04,Malin head,Millimetres,32.6
Total Rainfall,2007M04,Mullingar,Millimetres,22.3
Total Rainfall,2007M04,Roches Point,Millimetres,
Total Rainfall,2007M04,Rosslare,Millimetres,23.6
Total Rainfall,2007M04,Shannon airport,Millimetres,11.7
Total Rainfall,2007M05,Belmullet,Millimetres,73.7
Total Rainfall,2007M05,Birr,Millimetres,53.1
Total Rainfall,2007M05,Valentia Observatory,Millimetres,76.7
Total Rainfall,2007M05,Casement,Millimetres,39.1
Total Rainfall,2007M05,Claremorris,Millimetres,
Total Rainfall,2007M05,Clones,Millimetres,64.5
Total Rainfall,2007M05,Cork airport,Millimetres,64.5
Total Rainfall,2007M05,Dublin airport,Millimetres,35.0
Total Rainfall,2007M05,Galway,Millimetres,93.8
Total Rainfall,2007M05,Kilkenny,Millimetres,42.0
Total Rainfall,2007M05,Malin head,Millimetres,101.8
Total Rainfall,2007M05,Mullingar,Millimetres,63.8
Total Rainfall,2007M05,Roches Point,Millimetres,
Total Rainfall,2007M05,Rosslare,Millimetres,44.6
Total Rainfall,2007M05,Shannon airport,Millimetres,65.8
Total Rainfall,2007M06,Belmullet,Millimetres,71.9
Total Rainfall,2007M06,Birr,Millimetres,98.5
Total Rainfall,2007M06,Valentia Observatory,Millimetres,153.6
Total Rainfall,2007M06,Casement,Millimetres,137.5
Total Rainfall,2007M06,Claremorris,Millimetres,
Total Rainfall,2007M06,Clones,Millimetres,75.7
Total Rainfall,2007M06,Cork airport,Millimetres,156.9
Total Rainfall,2007M06,Dublin airport,Millimetres,134.4
Total Rainfall,2007M06,Galway,Millimetres,128.3
Total Rainfall,2007M06,Kilkenny,Millimetres,161.1
Total Rainfall,2007M06,Malin head,Millimetres,83.3
Total Rainfall,2007M06,Mullingar,Millimetres,108.2
Total Rainfall,2007M06,Roches Point,Millimetres,
Total Rainfall,2007M06,Rosslare,Millimetres,114.6
Total Rainfall,2007M06,Shannon airport,Millimetres,107.0
Total Rainfall,2007M07,Belmullet,Millimetres,102.0
Total Rainfall,2007M07,Birr,Millimetres,92.2
Total Rainfall,2007M07,Valentia Observatory,Millimetres,76.3
Total Rainfall,2007M07,Casement,Millimetres,145.4
Total Rainfall,2007M07,Claremorris,Millimetres,
Total Rainfall,2007M07,Clones,Millimetres,135.2
Total Rainfall,2007M07,Cork airport,Millimetres,116.3
Total Rainfall,2007M07,Dublin airport,Millimetres,119.1
Total Rainfall,2007M07,Galway,Millimetres,162.3
Total Rainfall,2007M07,Kilkenny,Millimetres,116.5
Total Rainfall,2007M07,Malin head,Millimetres,105.4
Total Rainfall,2007M07,Mullingar,Millimetres,150.1
Total Rainfall,2007M07,Roches Point,Millimetres,
Total Rainfall,2007M07,Rosslare,Millimetres,69.6
Total Rainfall,2007M07,Shannon airport,Millimetres,93.5
Total Rainfall,2007M08,Belmullet,Millimetres,88.9
Total Rainfall,2007M08,Birr,Millimetres,145.6
